Time	Node	Type	Packets	
5	Producer2	CacheMisses	0
5	Producer3	CacheHits	0
5	Producer3	CacheMisses	0
5	Producer4	CacheHits	0
5	Producer4	CacheMisses	0
6	Consumer1	CacheHits	0
6	Consumer1	CacheMisses	0
6	Node1	CacheHits	0
6	Node1	CacheMisses	0
6	Node2	CacheHits	0
6	Node2	CacheMisses	0
6	Node3	CacheHits	0
6	Node3	CacheMisses	0
6	Node4	CacheHits	0
6	Node4	CacheMisses	0
6	Node5	CacheHits	0
6	Node5	CacheMisses	0
6	Node6	CacheHits	0
6	Node6	CacheMisses	0
6	Node7	CacheHits	0
6	Node7	CacheMisses	0
6	Node8	CacheHits	0
6	Node8	CacheMisses	0
6	Node9	CacheHits	0
6	Node9	CacheMisses	0
6	Node10	CacheHits	0
6	Node10	CacheMisses	0
6	Node11	CacheHits	0
6	Node11	CacheMisses	0
6	Node12	CacheHits	0
6	Node12	CacheMisses	0
6	Node13	CacheHits	0
6	Node13	CacheMisses	0
6	Node14	CacheHits	0
6	Node14	CacheMisses	0
6	Node15	CacheHits	0
6	Node15	CacheMisses	0
6	Node16	CacheHits	0
6	Node16	CacheMisses	0
6	Node17	CacheHits	0
6	Node17	CacheMisses	0
6	Node18	CacheHits	0
6	Node18	CacheMisses	0
6	Node19	CacheHits	0
6	Node19	CacheMisses	0
6	Node20	CacheHits	0
6	Node20	CacheMisses	0
6	Node21	CacheHits	0
6	Node21	CacheMisses	0
6	Node22	CacheHits	0
6	Node22	CacheMisses	0
6	Node23	CacheHits	0
6	Node23	CacheMisses	0
6	Node24	CacheHits	0
6	Node24	CacheMisses	0
6	Producer1	CacheHits	0
6	Producer1	CacheMisses	0
6	F1a	CacheHits	0
6	F1a	CacheMisses	0
6	F1b	CacheHits	0
6	F1b	CacheMisses	0
6	F1c	CacheHits	0
6	F1c	CacheMisses	0
6	F2a	CacheHits	0
6	F2a	CacheMisses	0
6	F2b	CacheHits	0
6	F2b	CacheMisses	0
6	F2c	CacheHits	0
6	F2c	CacheMisses	0
6	F3a	CacheHits	0
6	F3a	CacheMisses	0
6	F3b	CacheHits	0
6	F3b	CacheMisses	0
6	F3c	CacheHits	0
6	F3c	CacheMisses	0
6	F4a	CacheHits	0
6	F4a	CacheMisses	0
6	F4b	CacheHits	0
6	F4b	CacheMisses	0
6	F4c	CacheHits	0
6	F4c	CacheMisses	0
6	F5a	CacheHits	0
6	F5a	CacheMisses	0
6	F5b	CacheHits	0
6	F5b	CacheMisses	0
6	F5c	CacheHits	0
6	F5c	CacheMisses	0
6	Consumer2	CacheHits	0
6	Consumer2	CacheMisses	0
6	Consumer3	CacheHits	0
6	Consumer3	CacheMisses	0
6	Consumer4	CacheHits	0
6	Consumer4	CacheMisses	0
6	Producer2	CacheHits	0
6	Producer2	CacheMisses	0
6	Producer3	CacheHits	0
6	Producer3	CacheMisses	0
6	Producer4	CacheHits	0
6	Producer4	CacheMisses	0
7	Consumer1	CacheHits	0
7	Consumer1	CacheMisses	0
7	Node1	CacheHits	0
7	Node1	CacheMisses	0
7	Node2	CacheHits	0
7	Node2	CacheMisses	0
7	Node3	CacheHits	0
7	Node3	CacheMisses	0
7	Node4	CacheHits	0
7	Node4	CacheMisses	0
7	Node5	CacheHits	0
7	Node5	CacheMisses	0
7	Node6	CacheHits	0
7	Node6	CacheMisses	0
7	Node7	CacheHits	0
7	Node7	CacheMisses	0
7	Node8	CacheHits	0
7	Node8	CacheMisses	0
7	Node9	CacheHits	0
7	Node9	CacheMisses	0
7	Node10	CacheHits	0
7	Node10	CacheMisses	0
7	Node11	CacheHits	0
7	Node11	CacheMisses	0
7	Node12	CacheHits	0
7	Node12	CacheMisses	0
7	Node13	CacheHits	0
7	Node13	CacheMisses	0
7	Node14	CacheHits	0
7	Node14	CacheMisses	0
7	Node15	CacheHits	0
7	Node15	CacheMisses	0
7	Node16	CacheHits	0
7	Node16	CacheMisses	0
7	Node17	CacheHits	0
7	Node17	CacheMisses	0
7	Node18	CacheHits	0
7	Node18	CacheMisses	0
7	Node19	CacheHits	0
7	Node19	CacheMisses	0
7	Node20	CacheHits	0
7	Node20	CacheMisses	0
7	Node21	CacheHits	0
7	Node21	CacheMisses	0
7	Node22	CacheHits	0
7	Node22	CacheMisses	0
7	Node23	CacheHits	0
7	Node23	CacheMisses	0
7	Node24	CacheHits	0
7	Node24	CacheMisses	0
7	Producer1	CacheHits	0
7	Producer1	CacheMisses	0
7	F1a	CacheHits	0
7	F1a	CacheMisses	0
7	F1b	CacheHits	0
7	F1b	CacheMisses	0
7	F1c	CacheHits	0
7	F1c	CacheMisses	0
7	F2a	CacheHits	0
7	F2a	CacheMisses	0
7	F2b	CacheHits	0
7	F2b	CacheMisses	0
7	F2c	CacheHits	0
7	F2c	CacheMisses	0
7	F3a	CacheHits	0
7	F3a	CacheMisses	0
7	F3b	CacheHits	0
7	F3b	CacheMisses	0
7	F3c	CacheHits	0
7	F3c	CacheMisses	0
7	F4a	CacheHits	0
7	F4a	CacheMisses	0
7	F4b	CacheHits	0
7	F4b	CacheMisses	0
7	F4c	CacheHits	0
7	F4c	CacheMisses	0
7	F5a	CacheHits	0
7	F5a	CacheMisses	0
7	F5b	CacheHits	0
7	F5b	CacheMisses	0
7	F5c	CacheHits	0
7	F5c	CacheMisses	0
7	Consumer2	CacheHits	0
7	Consumer2	CacheMisses	0
7	Consumer3	CacheHits	0
7	Consumer3	CacheMisses	0
7	Consumer4	CacheHits	0
7	Consumer4	CacheMisses	0
7	Producer2	CacheHits	0
7	Producer2	CacheMisses	0
7	Producer3	CacheHits	0
7	Producer3	CacheMisses	0
7	Producer4	CacheHits	0
7	Producer4	CacheMisses	0
8	Consumer1	CacheHits	0
8	Consumer1	CacheMisses	0
8	Node1	CacheHits	0
8	Node1	CacheMisses	0
8	Node2	CacheHits	0
8	Node2	CacheMisses	0
8	Node3	CacheHits	0
8	Node3	CacheMisses	0
8	Node4	CacheHits	0
8	Node4	CacheMisses	0
8	Node5	CacheHits	0
8	Node5	CacheMisses	0
8	Node6	CacheHits	0
8	Node6	CacheMisses	0
8	Node7	CacheHits	0
8	Node7	CacheMisses	0
8	Node8	CacheHits	0
8	Node8	CacheMisses	0
8	Node9	CacheHits	0
8	Node9	CacheMisses	0
8	Node10	CacheHits	0
8	Node10	CacheMisses	0
8	Node11	CacheHits	0
8	Node11	CacheMisses	0
8	Node12	CacheHits	0
8	Node12	CacheMisses	0
8	Node13	CacheHits	0
8	Node13	CacheMisses	0
8	Node14	CacheHits	0
8	Node14	CacheMisses	0
8	Node15	CacheHits	0
8	Node15	CacheMisses	0
8	Node16	CacheHits	0
8	Node16	CacheMisses	0
8	Node17	CacheHits	0
8	Node17	CacheMisses	0
8	Node18	CacheHits	0
8	Node18	CacheMisses	0
8	Node19	CacheHits	0
8	Node19	CacheMisses	0
8	Node20	CacheHits	0
8	Node20	CacheMisses	0
8	Node21	CacheHits	0
8	Node21	CacheMisses	0
8	Node22	CacheHits	0
8	Node22	CacheMisses	0
8	Node23	CacheHits	0
8	Node23	CacheMisses	0
8	Node24	CacheHits	0
8	Node24	CacheMisses	0
8	Producer1	CacheHits	0
8	Producer1	CacheMisses	0
